,mean,std,max,mean_rating
Cambuur,758.3562556458897,154.8159786338787,978.0,758.3562556458897
Campomaior,991.4597852028639,22.42317631585277,995.0,991.4597852028639
Campomaiorense,886.4707233065442,22.11483008056067,1052.0,886.4707233065442
Cangzhou,866.6139670223084,87.48000802887991,1121.0,866.6139670223084
Cannes,792.4338409475465,81.45181091216116,1188.0,792.4338409475465
Canvey Island,841.11704135919,10.841476865743674,1000.0,841.11704135919
Cardiff,760.6493169244666,114.38705350783404,1080.0,760.6493169244666
Carlisle,614.77091565993,187.89669213085304,1247.0,614.77091565993
Carpi,727.647418101055,158.64885120832685,1068.0,727.647418101055
Cartagena,794.8488786417942,66.3966040048391,1044.0,794.8488786417942
Casa Pia,844.9182608695652,105.15305882827317,1042.0,844.9182608695652
Castellon,667.2865497076024,96.8404976755828,964.0,667.2865497076024
Catania,861.2032645518941,87.78155834420319,1096.0,861.2032645518941
Catanzaro,630.6286989585055,70.3093176033025,1019.0,630.6286989585055
Ceahlaul,771.1034743202417,79.48596259924439,1123.0,771.1034743202417
Ceara,765.166999002991,143.58891352555176,1089.0,765.166999002991
Celta,926.6335558321077,100.9423443256201,1189.0,926.6335558321077
Celtic,1254.4934598911912,113.31840051759127,1529.0,1254.4934598911912
Central Cordoba,761.0031685678074,81.18278687828331,986.0,761.0031685678074
Cercle Brugge,849.197711834108,112.04442918578948,1131.0,849.197711834108
Cerezo Osaka,882.1645074553899,135.8887923422147,1234.0,882.1645074553899
Cesena,847.6843568025411,67.55680521827789,1101.0,847.6843568025411
Chacarita Juniors,580.9009497964722,65.05513605861006,949.0,580.9009497964722
Chalkidona,1041.5521511351008,17.562923297284186,1205.0,1041.5521511351008
Chambly,694.7632911392406,59.137367971682345,1015.0,694.7632911392406
Changchun Yatai,890.0453614281533,144.08789477083158,1186.0,890.0453614281533
Chapecoense-SC,765.2317037037037,184.259591763891,1176.0,765.2317037037037
Charleroi,888.2495530925992,95.77288480122897,1149.0,888.2495530925992
Charleville,996.5246405309082,16.58151295790437,1040.0,996.5246405309082
Charlotte,686.437756497948,65.53248611854742,881.0,686.437756497948
Charlton,771.3374731850514,200.84732498930111,1203.0,771.3374731850514
Chateauroux,744.5329974191962,151.90269301531143,1170.0,744.5329974191962
Chaves,781.5144707281618,52.57896414900849,1037.0,781.5144707281618
Chelsea,1085.4302811335667,125.4430338535757,1417.0,1085.4302811335667
Cheltenham,567.910147702407,143.72757535249247,990.0,567.910147702407
Chemnitz,738.1043546931407,86.17383127652876,1066.0,738.1043546931407
Chengdu Rongcheng,1106.5019255455713,139.089920920554,1321.0,1106.5019255455713
Chester,600.55978322231,163.8316973133652,1152.0,600.55978322231
Chesterfield,686.6749463701027,186.63717378877107,1204.0,686.6749463701027
Chiapas,868.6044813695871,99.33071627764787,1145.0,868.6044813695871
Chicago Fire,767.6888616891065,134.88818377180172,1234.0,767.6888616891065
Chievo,921.5961955827908,111.52959738920565,1207.0,921.5961955827908
Chindia Targoviste,851.1532547411584,101.42805250162809,1070.0,851.1532547411584
Chivas USA,760.739119804401,57.00716820636767,1060.0,760.739119804401
Chongqing Liangjiang Athletic,871.9928548229944,103.70635345146803,1230.0,871.9928548229944
Chorley,405.20470438652256,88.63287377566256,971.0,405.20470438652256
Cittadella,814.806033869361,75.13538461396169,1012.0,814.806033869361
Ciudad de Murcia,849.7398696964882,31.481392315042786,1040.0,849.7398696964882
Clermont,784.3111689903478,85.04401072207666,1013.0,784.3111689903478
Club America,953.7532107781416,126.768606657543,1336.0,953.7532107781416
Club Brugge,1093.3482717520858,95.38903182135523,1348.0,1093.3482717520858
Club Leon,873.3275427995972,153.03996089758076,1262.0,873.3275427995972
Club Tijuana,796.571752265861,174.9754888404069,1334.0,796.571752265861
Clyde,626.6925525143221,258.57340459890173,1192.0,626.6925525143221
Clydebank,766.878458154879,72.76180932442352,1084.0,766.878458154879
Cobh Ramblers,942.8449920508745,3.171038606650383,943.0,942.8449920508745
Colchester,634.7405442023259,190.81161275974955,1068.0,634.7405442023259
Colon Santa FE,849.7922241858116,113.699526486964,1165.0,849.7922241858116
Colon Santa Fe,727.8715890850723,89.51699372632395,897.0,727.8715890850723
Colorado Rapids,788.076509410902,146.21717030856902,1125.0,788.076509410902
Columbus Crew,865.3172818381814,124.97535812678377,1205.0,865.3172818381814
Como,684.5266036062666,95.63881048587504,1184.0,684.5266036062666
Compostela,845.1477444044996,54.04556589966957,1159.0,845.1477444044996
Concarneau,728.8362831858407,84.526207440924,973.0,728.8362831858407
Concordia,790.656926952141,120.36238506108772,1118.0,790.656926952141
Cordoba,757.8144697177308,129.4859132324454,1069.0,757.8144697177308
Corinthians,916.4788767395627,127.0525796380099,1291.0,916.4788767395627
Coritiba,818.5981610337972,133.0921114243381,1172.0,818.5981610337972
Cork City,960.1691068814056,213.7234279132434,1437.0,960.1691068814056
Corona Brasov,650.1037995594713,37.22307968358932,905.0,650.1037995594713
Cosenza,770.6214928533616,81.86253224308166,1079.0,770.6214928533616
Cottbus,764.2469151507441,168.99534666105643,1103.0,764.2469151507441
Cove Rangers,663.8232676414494,126.52000733976685,1001.0,663.8232676414494
Coventry,721.0583719092243,173.5650560555697,1116.0,721.0583719092243
Cowdenbeath,591.0924134419552,223.41016530483327,1042.0,591.0924134419552
Cracovia,890.2559867877787,105.30275987296469,1258.0,890.2559867877787
Crawley Town,573.0068645958469,208.8842828438574,1080.0,573.0068645958469
Cremonese,724.2754409769335,105.40638632960506,1077.0,724.2754409769335
Creteil,721.5546746856205,102.81802646412518,1039.0,721.5546746856205
Crewe,646.0163712317941,216.38703672864006,1197.0,646.0163712317941
Criciuma,734.5670466883822,79.92726879757019,1121.0,734.5670466883822
Crotone,763.9268535648214,127.09984084211567,1033.0,763.9268535648214
Crucero del Norte,513.9919276719406,69.82006404383489,991.0,513.9919276719406
Cruz Azul,885.7311178247734,153.59762327280117,1352.0,885.7311178247734
Cruzeiro,844.6940854870776,188.3325159645403,1368.0,844.6940854870776
Crystal Palace,851.5773964096195,105.91391699545399,1207.0,851.5773964096195
Cuiaba,816.8549848942598,80.446066872325,1042.0,816.8549848942598
DC United,776.7919315403423,175.75922992777174,1187.0,776.7919315403423
Daco-Getica Bucuresti,584.3948763250884,65.15974110301684,958.0,584.3948763250884
Dag and Red,604.4504891024541,152.68763982834983,1053.0,604.4504891024541
Dalian Pro,791.698535080956,113.89582339056739,1107.0,791.698535080956
Dalian Yifang F.C.,844.2648522095405,50.63435216982243,1101.0,844.2648522095405
Dalkurd,902.6983655274888,48.89533584602584,1053.0,902.6983655274888
Dardanelspor,950.631145526057,22.84831483519246,1057.0,950.631145526057
Darlington,646.5935418313198,123.47574395003473,1095.0,646.5935418313198
Darmstadt,849.258221680877,87.93999946176338,1047.0,849.258221680877
Dartford,595.3497723823975,68.15601153695198,965.0,595.3497723823975
Defensa y Justicia,924.9807809640024,151.3243033810994,1260.0,924.9807809640024
Degerfors,836.5653846153846,112.30902110346535,1067.0,836.5653846153846
Den Bosch,641.3390364084314,83.30389942074594,975.0,641.3390364084314
Den Haag,744.7160532994924,104.83245605195837,1030.0,744.7160532994924
Dender,883.6598422238918,25.12701147505172,964.0,883.6598422238918
Denizlispor,871.4083121092846,101.17407845449442,1152.0,871.4083121092846
Dep. Riestra,756.8983050847457,91.3577082634339,962.0,756.8983050847457
Derby,778.4415716382522,159.84695636607836,1202.0,778.4415716382522
Derry City,971.9929233772572,129.99169233774643,1340.0,971.9929233772572
Desp. Chaves,1020.2803705848291,40.19877098433684,1074.0,1020.2803705848291
Dijon,788.4115517525095,94.76695342956717,1015.0,788.4115517525095
Din. Bucuresti,947.2584948401711,140.04749008030936,1225.0,947.2584948401711
Diyarbakirspor,756.2215666027438,102.11429037338563,1152.0,756.2215666027438
Djurgarden,1026.1974459724952,108.50337268906671,1282.0,1026.1974459724952
Doncaster,606.6315908321102,171.6919189996541,1111.0,606.6315908321102
Dorados de Sinaloa,806.4090291921249,36.03637155212704,1004.0,806.4090291921249
Dordrecht,828.3484760690694,128.53784068243934,1022.0,828.3484760690694
Dorking,549.5104166666666,118.1414622759328,964.0,549.5104166666666
Dortmund,1125.3910835214447,90.52838827710296,1380.0,1125.3910835214447
Dover Athletic,571.3790789874962,221.75099940400347,947.0,571.3790789874962
Doxa,783.823187732342,19.283846187882528,1001.0,783.823187732342
Doxa Dramas,779.2557862085421,16.621317918621727,994.0,779.2557862085421
