,0
FSV Frankfurt,1000.0
Poli Ejido,1000.0
Pistoiese,1000.0
Juventude,1000.0
Roosendaal,1000.0
Droylsden,1000.0
Huesca,1000.0
Sparta Rotterdam,1000.0
Canvey Island,1000.0
Monaghan,1000.0
Rimini,1000.0
Nashville SC,999.0
Qingdao West Coast,998.0
AFC Wimbledon,997.0
Wexford,997.0
Giresunspor,997.0
Vizela,997.0
Lerida,996.0
Latina,996.0
Frankfurt FSV,996.0
Campomaior,995.0
Gravesend,995.0
Montedio Yamagata,995.0
Malaga B,994.0
Doxa Dramas,994.0
Feirense ,993.0
Tours,993.0
Heusden Zolder,993.0
Paris FC,991.0
Crucero del Norte,991.0
Nuneaton Town,991.0
Ham-Kam,991.0
Cheltenham,990.0
Atl. San Luis,990.0
Rouen,989.0
Montrose,989.0
Tosno,988.0
Harrogate,988.0
Zhejiang Yiteng,987.0
Villarreal B,987.0
Central Cordoba,986.0
U.Las Palmas,986.0
Osnabruck,986.0
Spezia,986.0
Tianjin Tianhai,986.0
Ajaccio GFCO,986.0
Bourg Peronnas,985.0
Sutton,985.0
Siegen,985.0
Trikala,985.0
Leones Negros,985.0
Vecindario,984.0
Alcoyano,984.0
Baltika,984.0
Lewes,983.0
Eupen,983.0
Levadiakos,983.0
North Ferriby,983.0
Besancon,982.0
Raith,982.0
Niki Volos,982.0
Schweinfurt,981.0
Juve Stabia,981.0
Sandhausen,980.0
Thrasyvoulos,980.0
Pontevedra,979.0
Tondela,979.0
Quevilly Rouen,979.0
Maidenhead,978.0
Yverdon,978.0
Roda ,978.0
Cambuur,978.0
Salford,978.0
Willem II ,978.0
Portimonense,977.0
Geel,977.0
Shenzhen Xinpengcheng,977.0
Piacenza ,976.0
Extremadura UD,975.0
Austin FC,975.0
Vendsyssel,975.0
Den Bosch,975.0
Woking,975.0
Barracas Central,975.0
Sete,975.0
Gloria Buzau,975.0
Telford United,974.0
Ibiza,974.0
Bath City,974.0
Ourense,974.0
Eastbourne Borough,974.0
Hyde United,973.0
P. Ofisi,973.0
Juarez,973.0
R. Volgograd,973.0
Nocerina,973.0
Balikesirspor,973.0
Concarneau,973.0
Milton Keynes Dons,973.0
Waasland-Beveren,973.0
Vitesse ,973.0
Gallipoli,973.0
AFC Telford United,972.0
Trofense,972.0
KingÆs Lynn,972.0
Wealdstone,971.0
Leonesa,971.0
Chorley,971.0
Elversberg,970.0
Puszcza,970.0
Ponferradina,970.0
Joinville,969.0
East Fife,969.0
Welling United,969.0
Boulogne,968.0
Grosseto,968.0
Cabinteely,968.0
Boston,967.0
Fylde,967.0
Braintree Town,967.0
Libourne,966.0
Winterthur,966.0
Dartford,965.0
Dender,964.0
Dorking,964.0
Castellon,964.0
Kumamoto,964.0
